[ROE Anomaly] HAL Year Mar 2018: Computed 1528.46% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2019: Computed 1763.91% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2020: Computed 2059.42% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2021: Computed 2249.31% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2022: Computed 3324.18% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2023: Computed 3283.05% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAL Year Mar 2024: Computed 3816.58% vs Reported 28.9% | Category: Source discrepancy
[ROE Anomaly] HAVELLS Year Mar 2013: Computed 40.29% vs Reported 18.0% | Category: Source discrepancy
[ROE Anomaly] HAVELLS Year Mar 2014: Computed 26.77% vs Reported 18.0% | Category: Source discrepancy
[ROE Anomaly] HAVELLS Year Mar 2016: Computed 42.95% vs Reported 18.0% | Category: Source discrepancy
[ROE Anomaly] HCLTECH Year Jun 2013: Computed 30.69% vs Reported 23.3% | Category: Source discrepancy
[ROE Anomaly] HCLTECH Year Jun 2014: Computed 33.39% vs Reported 23.3% | Category: Source discrepancy
[ROE Anomaly] HCLTECH Year Jun 2015: Computed 30.31% vs Reported 23.3% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2013: Computed 33.43% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2014: Computed 37.60% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2015: Computed 30.93% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2016: Computed 26.33% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2017: Computed 23.18% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2018: Computed 23.53% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2019: Computed 22.65% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HDFCLIFE Year Mar 2020: Computed 19.05% vs Reported 11.4% | Category: Source discrepancy
[ROE Anomaly] HEROMOTOCO Year Mar 2014: Computed 37.38% vs Reported 22.0% | Category: Source discrepancy
[ROE Anomaly] HEROMOTOCO Year Mar 2015: Computed 36.15% vs Reported 22.0% | Category: Source discrepancy
[ROE Anomaly] HEROMOTOCO Year Mar 2016: Computed 35.23% vs Reported 22.0% | Category: Source discrepancy
[ROE Anomaly] HEROMOTOCO Year Mar 2017: Computed 34.37% vs Reported 22.0% | Category: Source discrepancy
